0,1,2,3,4,5,6,7,8,9,10
-5.339999,9.599999,25.52,44.859989,57.839996,77.620003,86.559998,-255.320007,-240.300003,-220.400009,-207.100006
-133.62001,-129.940002,-119.920013,-104.620003,-83.68,-76.18,-62.100002,-43.760002,-38.360001,-11.48,16.880001
-222.559998,-201.059998,-189.400009,-147.76001,-119.780014,-72.18,-49.18,-41.220001,-22.02,-1.639999,6.280011
38.599998,38.899998,48.499989,58.739998,69.919998,88.099998,87.699997,-251.360001,-238.940002,-235.100006,-210.300003
-30.32,-46.220001,-58.52,-63.580002,-101.980003,-94.139999,-184.680008,-219.960007,-247.580002,-255.279999,-268.180023
38.099998,21.999989,10.06001,3.68,-6.08,-15.9,-33.639999,-39.919998,-59.799999,-101.199997,-165.12001
-138.320007,-166.020004,-182.0,-200.139999,-204.699997,-227.139999,-246.540009,80.779999,76.279999,56.739998,32.78001
-133.700012,-138.839996,-152.76001,-147.320007,55.860001,71.779999,-247.360001,-82.919998,-87.020004,-78.779999,-91.900002
-3.98,13.94,27.939999,49.84,65.82,78.900002,-269.76001,-254.0,-239.180008,-219.300003,-210.26001
-102.120003,-93.160004,-73.68,-57.959999,-33.279999,-20.18,-8.12,15.920011,41.02,68.419998,81.339996
-155.699997,-145.020004,-122.800011,-109.620003,-87.220001,-73.68,-61.220001,-42.940002,-28.040001,-20.439999,5.62
-15.4,-38.799999,-55.66,-66.940002,-84.940002,-109.760002,-141.960007,-164.779999,-178.180008,-214.639999,-236.180008
81.800003,-266.76001,-255.220001,-249.979996,-234.800003,-229.0,-220.160004,-211.300003,-189.600006,-178.979996,-161.600006
54.260002,38.040001,20.459999,10.579989,-3.68,-9.459999,-33.18,-41.599998,-81.120003,-104.68,-152.919998
-131.020004,-167.540009,-208.839996,72.800003,84.279999,47.140011,30.939999,8.12,-3.1,-6.68,-12.86
-225.0,-258.720001,-255.540009,-267.02002,81.620003,69.800003,63.18,55.059998,49.459999,42.68,32.239998
-1.679999,9.88,29.299999,41.32,63.659996,85.400002,89.519989,-250.720001,-238.300003,-220.220001,-207.400009
-165.020004,-191.520004,-207.919998,-224.720001,-228.979996,-246.199997,-267.040009,78.979996,75.239998,63.099998,46.700008
-145.080002,-40.360001,-182.199997,-12.36,-19.220001,9.94,-1.759999,11.900001,24.57999,46.939999,62.800003
-75.840004,-87.360001,-98.279999,-107.279999,-116.62001,-121.900009,-137.440002,-145.080002,-153.100006,-164.520004,-173.440002
-241.720001,-248.680008,-246.440002,-95.68,-178.12001,-12.24,-16.239998,-8.499999,-0.879999,10.54,18.700008
7.200009,-11.719999,-25.34,-36.700001,-41.959999,-53.200001,-71.220001,-102.480003,-109.120003,-124.44001,-163.860001
42.859989,58.18,76.199997,-266.860016,-248.979996,-227.020004,-199.26001,-160.040009,-127.860008,-99.480003,-77.040001
-144.860001,-160.660004,-164.979996,-175.779999,-174.380005,-183.139999,-247.839996,-244.460007,-47.360001,-72.360001,-68.18
